activity_id,canonical_match_label,canonical_plain_label,discriminating,cluster_id,raw_count,cluster_member_phrases
a084,manage and coordinate projects through delivery,"managing and coordinating projects from start to finish, often juggling several at once and handling dependencies between them",Yes,110,62,manage projects to deliver programs | coordinate interdependencies across projects | manage projects to deliver solutions | coordinate administrative projects | coordinate operational requests and projects | coordinate local input to projects | coordinate team projects | manage projects with competing deadlines | coordinate team projects and initiatives | coordinate projects with stakeholders | coordinate projects from start to finish | support system upgrade projects | manage multiple concurrent deadlines | manage projects and service levels | manage and coordinate special projects | coordinate participants across projects | manage projects and interdependencies | coordinate technical delivery of projects | manage multiple projects with competing priorities | manage special projects to completion | manage projects through delivery phases | oversee implementation of frameworks across projects | coordinate and track projects | manage multiple concurrent projects | support office administration and projects | coordinate team projects and delivery initiatives | manage delivery of projects | manage a pipeline of projects | coordinate dependencies across projects | review completed projects and capture lessons | coordinate interrelated projects and components | manage dependencies across projects | manage projects from initiation to closure | manage projects | manage system implementation projects | manage projects through the full lifecycle | managing system implementation projects | manage delivery of digital projects | manage projects through full delivery lifecycle | manage projects and reporting | coordinate projects and administrative tasks | manage periodic reporting projects | manage processes and projects | scope and script video projects | manage a pipeline of future projects | coordinate projects from initiation to closure | manage programs and projects | manage integration projects with external parties | coordinate integration projects | manage multiple projects at once | manage multiple projects to deadline | manage external vendor delivery projects | manage multiple projects to deadlines | coordinate delivery of governance projects
a085,develop communication plans and strategies,"putting together communication plans, key messages and tactics",Yes,58,59,research and write communication content | publish content across communication channels | administer communication channels and web pages | refine reporting and communication requirements | support contract reporting and communication | implement engagement and communication plans | maintain communication on case matters | facilitate communication between individuals | developing communication plans | develop communication materials | develop communication systems and resources | develop key messages and communication tactics | support stakeholder engagement and communication | develop communication and consultation processes | maintain open communication across teams | support communication of policies to stakeholders | manage stakeholder communication and engagement | implement stakeholder communication plans | implement stakeholder engagement and communication plans | develop and manage communication plans | use communication channels to attract and retain staff | contribute to marketing and communication materials | facilitate stakeholder communication | prepare marketing and communication materials | develop stakeholder communication strategies | develop communication and training materials | produce communication materials for stakeholders | facilitate communication between stakeholders | develop communication plans | use contemporary communication techniques | manage enquiries and communication channels | facilitate communication between support teams and users | coordinate communication with key stakeholders | develop communication approaches for stakeholder groups | coordinate stakeholder communication and engagement | develop stakeholder communication products | improve communication and information flow | maintain communication and information systems | manage communication channels | maintain communication channels and products | promote programs through communication channels | manage communication channels and enquiries | coordinate communication between teams | maintain stakeholder communication | develop communication tools and resources | promote programs across communication channels | maintain ongoing stakeholder communication | coordinate communication across business units | coordinate communication across teams | develop communication and guidance resources | coordinate communication across functions | develop change and communication plans | coordinate communication with stakeholders | develop communication materials and advice
a086,produce communication content and materials,"writing and preparing communication materials like newsletters, web content and marketing collateral",Yes,58,59,research and write communication content | publish content across communication channels | administer communication channels and web pages | refine reporting and communication requirements | support contract reporting and communication | implement engagement and communication plans | maintain communication on case matters | facilitate communication between individuals | developing communication plans | develop communication materials | develop communication systems and resources | develop key messages and communication tactics | support stakeholder engagement and communication | develop communication and consultation processes | maintain open communication across teams | support communication of policies to stakeholders | manage stakeholder communication and engagement | implement stakeholder communication plans | implement stakeholder engagement and communication plans | develop and manage communication plans | use communication channels to attract and retain staff | contribute to marketing and communication materials | facilitate stakeholder communication | prepare marketing and communication materials | develop stakeholder communication strategies | develop communication and training materials | produce communication materials for stakeholders | facilitate communication between stakeholders | develop communication plans | use contemporary communication techniques | manage enquiries and communication channels | facilitate communication between support teams and users | coordinate communication with key stakeholders | develop communication approaches for stakeholder groups | coordinate stakeholder communication and engagement | develop stakeholder communication products | improve communication and information flow | maintain communication and information systems | manage communication channels | maintain communication channels and products | promote programs through communication channels | manage communication channels and enquiries | coordinate communication between teams | maintain stakeholder communication | develop communication tools and resources | promote programs across communication channels | maintain ongoing stakeholder communication | coordinate communication across business units | coordinate communication across teams | develop communication and guidance resources | coordinate communication across functions | develop change and communication plans | coordinate communication with stakeholders | develop communication materials and advice
a087,manage communication channels and enquiries,"running the communication channels, web pages and responding to incoming enquiries",Yes,58,59,research and write communication content | publish content across communication channels | administer communication channels and web pages | refine reporting and communication requirements | support contract reporting and communication | implement engagement and communication plans | maintain communication on case matters | facilitate communication between individuals | developing communication plans | develop communication materials | develop communication systems and resources | develop key messages and communication tactics | support stakeholder engagement and communication | develop communication and consultation processes | maintain open communication across teams | support communication of policies to stakeholders | manage stakeholder communication and engagement | implement stakeholder communication plans | implement stakeholder engagement and communication plans | develop and manage communication plans | use communication channels to attract and retain staff | contribute to marketing and communication materials | facilitate stakeholder communication | prepare marketing and communication materials | develop stakeholder communication strategies | develop communication and training materials | produce communication materials for stakeholders | facilitate communication between stakeholders | develop communication plans | use contemporary communication techniques | manage enquiries and communication channels | facilitate communication between support teams and users | coordinate communication with key stakeholders | develop communication approaches for stakeholder groups | coordinate stakeholder communication and engagement | develop stakeholder communication products | improve communication and information flow | maintain communication and information systems | manage communication channels | maintain communication channels and products | promote programs through communication channels | manage communication channels and enquiries | coordinate communication between teams | maintain stakeholder communication | develop communication tools and resources | promote programs across communication channels | maintain ongoing stakeholder communication | coordinate communication across business units | coordinate communication across teams | develop communication and guidance resources | coordinate communication across functions | develop change and communication plans | coordinate communication with stakeholders | develop communication materials and advice
a088,coordinate stakeholder communication and engagement,keeping stakeholders informed and facilitating communication between them,Yes,58,59,research and write communication content | publish content across communication channels | administer communication channels and web pages | refine reporting and communication requirements | support contract reporting and communication | implement engagement and communication plans | maintain communication on case matters | facilitate communication between individuals | developing communication plans | develop communication materials | develop communication systems and resources | develop key messages and communication tactics | support stakeholder engagement and communication | develop communication and consultation processes | maintain open communication across teams | support communication of policies to stakeholders | manage stakeholder communication and engagement | implement stakeholder communication plans | implement stakeholder engagement and communication plans | develop and manage communication plans | use communication channels to attract and retain staff | contribute to marketing and communication materials | facilitate stakeholder communication | prepare marketing and communication materials | develop stakeholder communication strategies | develop communication and training materials | produce communication materials for stakeholders | facilitate communication between stakeholders | develop communication plans | use contemporary communication techniques | manage enquiries and communication channels | facilitate communication between support teams and users | coordinate communication with key stakeholders | develop communication approaches for stakeholder groups | coordinate stakeholder communication and engagement | develop stakeholder communication products | improve communication and information flow | maintain communication and information systems | manage communication channels | maintain communication channels and products | promote programs through communication channels | manage communication channels and enquiries | coordinate communication between teams | maintain stakeholder communication | develop communication tools and resources | promote programs across communication channels | maintain ongoing stakeholder communication | coordinate communication across business units | coordinate communication across teams | develop communication and guidance resources | coordinate communication across functions | develop change and communication plans | coordinate communication with stakeholders | develop communication materials and advice
a089,advise on security standards and controls,"advising others on security standards, controls, and good practices",Yes,239,60,maintain security of work areas | follow coding and security standards | maintain security of tools and materials | monitor systems for security vulnerabilities | resolve identified security vulnerabilities | analyse security event data | identify and report security violations | implement security improvements | review and apply security protocols | maintain security and integrity of records | maintain security of facilities and equipment | maintain security of stores and equipment | maintain security of equipment and work areas | advise on security practices and procedures | advise on security standards and procedures | advise on security standards | contribute to security and recovery planning | maintain system security documentation | review system security controls | monitor server security | apply security patches and fixes | recommend security improvements | support security and disaster recovery planning | maintain security of equipment | develop security processes for inventory and equipment | maintain security and access profiles | maintain security of equipment and property | work to security standards | maintain security of facilities and storage areas | administer system configuration and security | monitor systems for security issues | manage electronic security systems | advise on security controls | review systems for security breaches | work to coding and security standards | monitor system security and stability | analyse security issues and risks | monitor security threats | manage security incidents and investigations | coordinate with security teams on system protection | assess solutions against performance and security needs | liaise with security teams on system protection | implement security protocols and controls | maintain system availability security and reliability | manage security and risk for platforms | contribute to security and disaster recovery planning | assess security posture for gaps | assess security risks and vulnerabilities | maintain security and accuracy of records | maintain security and reliability of services | advise on security standards implementation | maintain hr system security and integrity | monitor and maintain system security
a090,"maintain security of facilities, equipment, and work areas","keeping premises, equipment, tools, and materials physically secure",Yes,239,60,maintain security of work areas | follow coding and security standards | maintain security of tools and materials | monitor systems for security vulnerabilities | resolve identified security vulnerabilities | analyse security event data | identify and report security violations | implement security improvements | review and apply security protocols | maintain security and integrity of records | maintain security of facilities and equipment | maintain security of stores and equipment | maintain security of equipment and work areas | advise on security practices and procedures | advise on security standards and procedures | advise on security standards | contribute to security and recovery planning | maintain system security documentation | review system security controls | monitor server security | apply security patches and fixes | recommend security improvements | support security and disaster recovery planning | maintain security of equipment | develop security processes for inventory and equipment | maintain security and access profiles | maintain security of equipment and property | work to security standards | maintain security of facilities and storage areas | administer system configuration and security | monitor systems for security issues | manage electronic security systems | advise on security controls | review systems for security breaches | work to coding and security standards | monitor system security and stability | analyse security issues and risks | monitor security threats | manage security incidents and investigations | coordinate with security teams on system protection | assess solutions against performance and security needs | liaise with security teams on system protection | implement security protocols and controls | maintain system availability security and reliability | manage security and risk for platforms | contribute to security and disaster recovery planning | assess security posture for gaps | assess security risks and vulnerabilities | maintain security and accuracy of records | maintain security and reliability of services | advise on security standards implementation | maintain hr system security and integrity | monitor and maintain system security
a091,monitor and resolve system security vulnerabilities and threats,"watching systems for security issues, patching them, and handling incidents",Yes,239,60,maintain security of work areas | follow coding and security standards | maintain security of tools and materials | monitor systems for security vulnerabilities | resolve identified security vulnerabilities | analyse security event data | identify and report security violations | implement security improvements | review and apply security protocols | maintain security and integrity of records | maintain security of facilities and equipment | maintain security of stores and equipment | maintain security of equipment and work areas | advise on security practices and procedures | advise on security standards and procedures | advise on security standards | contribute to security and recovery planning | maintain system security documentation | review system security controls | monitor server security | apply security patches and fixes | recommend security improvements | support security and disaster recovery planning | maintain security of equipment | develop security processes for inventory and equipment | maintain security and access profiles | maintain security of equipment and property | work to security standards | maintain security of facilities and storage areas | administer system configuration and security | monitor systems for security issues | manage electronic security systems | advise on security controls | review systems for security breaches | work to coding and security standards | monitor system security and stability | analyse security issues and risks | monitor security threats | manage security incidents and investigations | coordinate with security teams on system protection | assess solutions against performance and security needs | liaise with security teams on system protection | implement security protocols and controls | maintain system availability security and reliability | manage security and risk for platforms | contribute to security and disaster recovery planning | assess security posture for gaps | assess security risks and vulnerabilities | maintain security and accuracy of records | maintain security and reliability of services | advise on security standards implementation | maintain hr system security and integrity | monitor and maintain system security
a092,maintain confidential client records,Keep accurate and confidential client files,Yes,176,54,assess client needs and barriers | administer and interpret client assessments | maintain confidential client records | register and process client referrals | identify and resolve client issues | maintain client records and case files | conduct client surveys and interviews | record and handle client complaints | encourage client participation in programs | support client retention activities | coordinate client placements | build client skills and confidence | implement client eligibility screening | support design of client programs | maintain client support plans and records | monitor client assessments and reporting | manage existing client accounts | build long-term client relationships | anticipate client needs | provide after-sales client support | propose solutions to meet client needs | research client business needs | maintain client interaction records | develop target client lists | manage client engagement processes | manage client account activities | resolve client account issues | build client relationships to understand needs | manage and grow client accounts | resolve client issues and risks | work to client briefs | deliver a client advisory service | build people management capability in client areas | encourage client motivation and engagement | monitor client progress | deliver creative work from client briefs | deliver client programs and services | gather and translate client needs | identify and segment client groups | map client journeys | deliver work to client briefs and timeframes | deliver tailored programs to client needs | assess client eligibility | support and engage client communities | identify client support needs | manage and resolve client issues | survey and monitor client satisfaction | respond to client needs and feedback | coordinate referrals and client onboarding | resolve client issues and escalate when needed | monitor and record client progress | identify client needs at different stages | deliver programs that support client outcomes
a093,coach and develop team members,"Coaching, mentoring, training and supporting the growth of people on the team",Yes,373,71,supervise and guide team members | support and supervise team members | lead and guide team members | induct and train team members | train and support team members | collaborate with team members on program delivery | train and equip team members | share technical knowledge with team members | identify and allocate work to team members | support and motivate team members | develop and coach team members | train and coach team members | share knowledge and coach team members | develop team members' skills and capabilities | allocate work to team members | support onboarding of new team members | support team members with delivery work | mentor and train team members | review advice provided by team members | coach and mentor team members | onboard new team members | delegate and assign work to team members | deliver training to team members | mentor and lead team members | share knowledge with team members | recruit and onboard new team members | coach and develop team members | guide and develop team members | support and coach team members | coach team members on system use | support professional development of team members | lead and coordinate team members | manage and develop team members | provide feedback on team members work | coach and share knowledge with team members | mentor and develop team members | provide technical guidance to team members | lead and coordinate project team members | coach team members | support team members to achieve outcomes | coach and support team members | collaborate with team members | lead and direct team members | coach team members in methods and tools | lead and collaborate with team members | collaborate with specialists and team members | coordinate planning with project team members | provide guidance to team members | support training of team members | develop team members | lead and develop team members | communicate information to team members | supervise daily work of team members
a094,allocate and assign work to team members,Deciding who does what and handing out tasks across the team,Yes,373,71,supervise and guide team members | support and supervise team members | lead and guide team members | induct and train team members | train and support team members | collaborate with team members on program delivery | train and equip team members | share technical knowledge with team members | identify and allocate work to team members | support and motivate team members | develop and coach team members | train and coach team members | share knowledge and coach team members | develop team members' skills and capabilities | allocate work to team members | support onboarding of new team members | support team members with delivery work | mentor and train team members | review advice provided by team members | coach and mentor team members | onboard new team members | delegate and assign work to team members | deliver training to team members | mentor and lead team members | share knowledge with team members | recruit and onboard new team members | coach and develop team members | guide and develop team members | support and coach team members | coach team members on system use | support professional development of team members | lead and coordinate team members | manage and develop team members | provide feedback on team members work | coach and share knowledge with team members | mentor and develop team members | provide technical guidance to team members | lead and coordinate project team members | coach team members | support team members to achieve outcomes | coach and support team members | collaborate with team members | lead and direct team members | coach team members in methods and tools | lead and collaborate with team members | collaborate with specialists and team members | coordinate planning with project team members | provide guidance to team members | support training of team members | develop team members | lead and develop team members | communicate information to team members | supervise daily work of team members
a095,onboard new team members,"Getting new starters inducted, trained and settled into the team",No,373,71,supervise and guide team members | support and supervise team members | lead and guide team members | induct and train team members | train and support team members | collaborate with team members on program delivery | train and equip team members | share technical knowledge with team members | identify and allocate work to team members | support and motivate team members | develop and coach team members | train and coach team members | share knowledge and coach team members | develop team members' skills and capabilities | allocate work to team members | support onboarding of new team members | support team members with delivery work | mentor and train team members | review advice provided by team members | coach and mentor team members | onboard new team members | delegate and assign work to team members | deliver training to team members | mentor and lead team members | share knowledge with team members | recruit and onboard new team members | coach and develop team members | guide and develop team members | support and coach team members | coach team members on system use | support professional development of team members | lead and coordinate team members | manage and develop team members | provide feedback on team members work | coach and share knowledge with team members | mentor and develop team members | provide technical guidance to team members | lead and coordinate project team members | coach team members | support team members to achieve outcomes | coach and support team members | collaborate with team members | lead and direct team members | coach team members in methods and tools | lead and collaborate with team members | collaborate with specialists and team members | coordinate planning with project team members | provide guidance to team members | support training of team members | develop team members | lead and develop team members | communicate information to team members | supervise daily work of team members
a096,"support implementation of changes, systems, and initiatives","helping roll out new systems, policies, programs, or changes across the organisation",Yes,147,62,support implementation and deployment | support implementation of process changes | monitor implementation of new practices | support implementation of projects and initiatives | support implementation of system changes | support implementation of services and programs | coordinating implementation of new processes | support implementation of new service approaches | support implementation of workplace changes | support implementation of new processes | support implementation of return to work plans | support implementation of workforce strategies | support implementation of contracts and agreements | prepare stakeholders for implementation | negotiate consistent implementation of policies | support implementation of reporting dashboards | support implementation of new systems | support system implementation and readiness | support implementation of diversity and inclusion plans | support implementation of programs and projects | support implementation of business plans | support implementation of frameworks across organisation | evaluate implementation of frameworks | support implementation of reporting requirements | support implementation of new products | support implementation of new programs | support implementation of operational plans | support smooth implementation of changes | support implementation of strategic changes | support implementation of policies and processes | review implementation of new systems | support implementation of policies and practices | gain support for implementation of changes | support implementation of policy changes | support system implementation and data migration | support implementation of initiatives | support implementation of new initiatives | support implementation of fixes and preventative measures | support implementation of control measures | support implementation of changes | lead implementation of new initiatives | support system implementation and change | support implementation of new technologies | support implementation of recognition initiatives | support implementation of strategy | support implementation of new systems and technology | support implementation of plans and initiatives | support implementation of quality frameworks | support implementation of policies and frameworks | support implementation of plans | support implementation and communication activities | support implementation of workforce programs
a097,provide expert advice to stakeholders,gives expert advice and recommendations to stakeholders and decision-makers,Yes,477,79,provide expert program management advice | provide expert advice to staff | provide expert advice on issues | provide expert advice to senior stakeholders | provide expert advice on responsibilities | provide expert advice to the business | provide expert advice | provide expert advice and coaching to managers | provide expert advice on service delivery | provide expert advice to stakeholders | provide expert advice to senior management | provide expert advice on financial management | provide expert advice on rules and processes | provide expert advice on operational readiness | provide expert advice to senior leaders | provide expert advice to managers | provide expert advice and recommendations | provide expert advice to senior decision makers | provide expert advice on performance | provide expert policy advice | provide expert advice on workforce standards | provide expert advice and resolve escalated issues | provide expert advice to working groups | provide expert guidance to staff | provide expert operational advice | provide expert advice on reporting and compliance | provide expert advice on project delivery | provide expert advice to management | provide expert advice on policy and practice | provide expert advice and build capability | provide expert advice to decision makers | provide expert advice on project management | provide expert advice on systems | provide expert advice on program delivery | provide expert advice on portfolio matters | provide expert advice to program teams | provide expert advice on technology direction | provide leadership and expert advice | provide expert advice and recommendations to teams | provide expert input to change initiatives | provide expert advice to senior leadership | provide expert advice to support decisions | provide expert advice to inform direction | provide expert advice on proposals | provide expert advice on complex issues | provide expert guidance on specialist work | provide expert guidance and troubleshooting | provide expert compliance advice | provide expert advice to staff and stakeholders | provide expert advice on technical matters | provide expert advice to staff on client matters | provide expert advice on program management
a098,gather requirements from stakeholders,"talk to stakeholders to gather business and system requirements, often via interviews and workshops",Yes,169,75,gather and analyse business requirements | gather business requirements from stakeholders | translate requirements into functional specifications | gather requirements from stakeholders | gather and document reporting requirements | gather and analyse client requirements | recommend solutions to business requirements | gather and refine business requirements | clarify session requirements with supervisor | gather requirements through interviews and workshops | assess business requirements for solutions | develop business requirements for systems | convert requirements into test requirements | gather user business requirements | translate user requirements into specifications | determine integration and data requirements | coordinate deployments with business requirements | gather business requirements and recommend solutions | gather business requirements | gather system and reporting requirements | gather and analyse stakeholder requirements | gather and clarify customer requirements | gather stakeholder reporting requirements | gather requirements and develop specifications | gather stakeholder requirements | align programs to business requirements | brief consultants on business requirements | align data rules with business requirements | map offerings against requirements | identify user and system requirements | gather stakeholder business requirements | gather requirements for system enhancements | derive test requirements from business requirements | gather stakeholder design requirements | interpret and respond to business requirements | gather and trace business requirements | gather and translate business requirements | gather and define business requirements | review business requirements documents | gather requirements through workshops and analysis | gather future business requirements | gather requirements through consultation and analysis | support business requirements gathering | gather client requirements and propose options | interpret legislative and contractual requirements | gather reporting requirements from stakeholders | develop and validate business requirements | test system configurations against requirements | translate requirements into system configuration | manage copyright and licensing requirements | embed requirements across delivery and transition | define and prioritise business requirements
a099,translate requirements into specifications,"turn business or user requirements into functional, technical, or test specifications",Yes,169,75,gather and analyse business requirements | gather business requirements from stakeholders | translate requirements into functional specifications | gather requirements from stakeholders | gather and document reporting requirements | gather and analyse client requirements | recommend solutions to business requirements | gather and refine business requirements | clarify session requirements with supervisor | gather requirements through interviews and workshops | assess business requirements for solutions | develop business requirements for systems | convert requirements into test requirements | gather user business requirements | translate user requirements into specifications | determine integration and data requirements | coordinate deployments with business requirements | gather business requirements and recommend solutions | gather business requirements | gather system and reporting requirements | gather and analyse stakeholder requirements | gather and clarify customer requirements | gather stakeholder reporting requirements | gather requirements and develop specifications | gather stakeholder requirements | align programs to business requirements | brief consultants on business requirements | align data rules with business requirements | map offerings against requirements | identify user and system requirements | gather stakeholder business requirements | gather requirements for system enhancements | derive test requirements from business requirements | gather stakeholder design requirements | interpret and respond to business requirements | gather and trace business requirements | gather and translate business requirements | gather and define business requirements | review business requirements documents | gather requirements through workshops and analysis | gather future business requirements | gather requirements through consultation and analysis | support business requirements gathering | gather client requirements and propose options | interpret legislative and contractual requirements | gather reporting requirements from stakeholders | develop and validate business requirements | test system configurations against requirements | translate requirements into system configuration | manage copyright and licensing requirements | embed requirements across delivery and transition | define and prioritise business requirements
a100,recommend solutions to meet business requirements,assess requirements and recommend solutions or enhancements that address them,Yes,169,75,gather and analyse business requirements | gather business requirements from stakeholders | translate requirements into functional specifications | gather requirements from stakeholders | gather and document reporting requirements | gather and analyse client requirements | recommend solutions to business requirements | gather and refine business requirements | clarify session requirements with supervisor | gather requirements through interviews and workshops | assess business requirements for solutions | develop business requirements for systems | convert requirements into test requirements | gather user business requirements | translate user requirements into specifications | determine integration and data requirements | coordinate deployments with business requirements | gather business requirements and recommend solutions | gather business requirements | gather system and reporting requirements | gather and analyse stakeholder requirements | gather and clarify customer requirements | gather stakeholder reporting requirements | gather requirements and develop specifications | gather stakeholder requirements | align programs to business requirements | brief consultants on business requirements | align data rules with business requirements | map offerings against requirements | identify user and system requirements | gather stakeholder business requirements | gather requirements for system enhancements | derive test requirements from business requirements | gather stakeholder design requirements | interpret and respond to business requirements | gather and trace business requirements | gather and translate business requirements | gather and define business requirements | review business requirements documents | gather requirements through workshops and analysis | gather future business requirements | gather requirements through consultation and analysis | support business requirements gathering | gather client requirements and propose options | interpret legislative and contractual requirements | gather reporting requirements from stakeholders | develop and validate business requirements | test system configurations against requirements | translate requirements into system configuration | manage copyright and licensing requirements | embed requirements across delivery and transition | define and prioritise business requirements
a1000,monitor contractor performance against agreed targets and outcomes,tracking whether contractors are delivering what was agreed in their contracts,Yes,438,4,advise on contract targets and outcomes | monitor contractor performance against agreed outcomes | monitor contract delivery and outcomes | monitor outcomes against agreed targets
a1001,apply established standards and frameworks,follow the required standards and frameworks for your work,Yes,399,4,work to required standards and frameworks | apply accepted audit standards and frameworks | promote process frameworks and standards | map curriculum against frameworks and standards
a1002,promote adoption of standards and frameworks,encourage teams to use consistent processes and standards,Yes,399,4,work to required standards and frameworks | apply accepted audit standards and frameworks | promote process frameworks and standards | map curriculum against frameworks and standards
a1003,foster collaboration across teams,encouraging teams and partners to work together effectively,Yes,622,4,build engaged high performing teams | build collaboration between technical teams | build collaboration across teams and partners | build collaboration across work teams
a1004,build engaged high performing teams,developing a motivated team that performs well,Yes,622,4,build engaged high performing teams | build collaboration between technical teams | build collaboration across teams and partners | build collaboration across work teams
a1005,hold physical poses for visual reference,holding physical poses so they can be used as visual reference material,Yes,216,4,hold physical poses for visual reference | create a library of reusable poses | create store retrieve and archive files | create graphics and visual assets
a1006,create and manage digital files and archives,"creating, storing, retrieving, and archiving files",No,216,4,hold physical poses for visual reference | create a library of reusable poses | create store retrieve and archive files | create graphics and visual assets
a1007,create graphics and visual assets,designing graphics and visual assets,Yes,216,4,hold physical poses for visual reference | create a library of reusable poses | create store retrieve and archive files | create graphics and visual assets
a1008,implement management systems and processes,"put in place management systems and processes, such as client or account management frameworks",Yes,567,4,implement management systems and processes | implement partnership and account management framework | implement management systems and procedures | implement and maintain client management systems
a1009,assess impact of decisions on financial outcomes,figure out how decisions will affect financial results,Yes,95,4,interpret impact of decisions on financial outcomes | facilitate discussions and document outcomes | document analysis outcomes and rationale | document financial processes and outcomes
a101,plan and design tests,"Develop test plans, strategies, test cases, test data, and acceptance criteria",Yes,77,58,"test solutions before delivery | review test plans and monitor testing | develop, test and implement technology solutions | define test acceptance criteria | prepare test effort estimates | develop test plans | prepare test data | prepare test strategies and plans | prepare test cases | run test cases | document test results | test and confirm system fixes | develop and test scenario plans | test system changes and fixes | integrate and test system components | test systems and software | test and monitor production systems | test solutions are fit for purpose | test and secure device builds | write and execute functional test cases | prototype and test design solutions | test new system changes | test and review system changes | create and maintain automated test scripts | analyse requirements to develop test plans | test plans against identified risks | test systems for vulnerabilities | unit test system changes | test current system functionality | develop test cases and test plans | test and validate process designs | test system changes before release | prepare test plans | execute test cases | prepare test plans and scenarios | research and test new processes | test and verify system changes | develop test plans and acceptance criteria | test system installations and upgrades | research and test new technology options | develop and test incident response processes | test system functionality across channels | develop and test technology solutions | prototype and test design concepts | develop test scripts and plans | configure, tune and test systems | research and test new methods | test and tag electrical equipment | test equipment against requirements | develop and run test scripts | prepare and run system test cases"
